"Frase","Encuestado","Posición_énfasis","Nivel_énfasis","Respuesta_posición","Respuesta_naturalidad"
"No, las almas de hombres vuelan por valles del Hades.","68534205","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68655582","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68687970","1","2","4","4"
"No, las almas de hombres vuelan por valles del Hades.","68692134","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68706786","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","1","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68748144","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68949299","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68955518","1","2","6","1"
"No, las almas de hombres vuelan por valles del Hades.","69008362","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69049888","1","2","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69136153","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69151399","1","2","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69208413","1","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69224568","1","2","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69239198","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69258094","1","2","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69295526","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69353968","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69418523","1","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69463764","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69528906","1","2","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69531549","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69603169","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69736333","1","2","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69757391","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","70427351","1","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","70437949","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","70735035","1","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","71123190","1","2","4","4"
"No, las almas de hombres vuelan por valles del Hades.","71362020","1","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","71615927","1","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71616815","1","2","1","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","1","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68534205","1","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68655582","1","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68687970","1","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68692134","1","3","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68706786","1","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","1","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68748144","1","3","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68949299","1","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68955518","1","3","4","2"
"No, las almas de hombres vuelan por valles del Hades.","69008362","1","3","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69049888","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69151399","1","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69208413","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69224568","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69239198","1","3","4","2"
