"Frase","Encuestado","Posición_énfasis","Nivel_énfasis","Respuesta_posición","Respuesta_naturalidad"
"No, el chef del rey vio la luz del tren.","68531832","1","2","1","4"
"No, el chef del rey vio la luz del tren.","68654169","1","2","1","4"
"No, el chef del rey vio la luz del tren.","68654712","1","2","1","3"
"No, el chef del rey vio la luz del tren.","68655450","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68655658","1","2","6","3"
"No, el chef del rey vio la luz del tren.","68656202","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68657115","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68659173","1","2","1","3"
"No, el chef del rey vio la luz del tren.","68660074","1","2","1","3"
"No, el chef del rey vio la luz del tren.","68668464","1","2","1","4"
"No, el chef del rey vio la luz del tren.","68684638","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68690956","1","2","1","2"
"No, el chef del rey vio la luz del tren.","68692205","1","2","3","4"
"No, el chef del rey vio la luz del tren.","68703738","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68734444","1","2","1","5"
"No, el chef del rey vio la luz del tren.","68736096","1","2","2","5"
"No, el chef del rey vio la luz del tren.","68744900","1","2","1","3"
"No, el chef del rey vio la luz del tren.","68762099","1","2","2","2"
"No, el chef del rey vio la luz del tren.","68809039","1","2","2","4"
"No, el chef del rey vio la luz del tren.","68816496","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68834293","1","2","6","2"
"No, el chef del rey vio la luz del tren.","68953126","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68956782","1","2","1","2"
"No, el chef del rey vio la luz del tren.","69007182","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69150497","1","2","1","4"
"No, el chef del rey vio la luz del tren.","69207687","1","2","1","2"
"No, el chef del rey vio la luz del tren.","69217166","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69221604","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69284675","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69293521","1","2","6","5"
"No, el chef del rey vio la luz del tren.","69295929","1","2","1","5"
"No, el chef del rey vio la luz del tren.","69296653","1","2","6","2"
"No, el chef del rey vio la luz del tren.","69350318","1","2","1","4"
"No, el chef del rey vio la luz del tren.","69407412","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69473683","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69496995","1","2","1","2"
"No, el chef del rey vio la luz del tren.","69506671","1","2","6","5"
"No, el chef del rey vio la luz del tren.","69530717","1","2","1","3"
"No, el chef del rey vio la luz del tren.","69602191","1","2","1","4"
"No, el chef del rey vio la luz del tren.","69654922","1","2","6","3"
"No, el chef del rey vio la luz del tren.","69725946","1","2","1","1"
"No, el chef del rey vio la luz del tren.","69753388","1","2","1","2"
"No, el chef del rey vio la luz del tren.","70343984","1","2","2","3"
"No, el chef del rey vio la luz del tren.","70734615","1","2","6","4"
"No, el chef del rey vio la luz del tren.","71122263","1","2","1","2"
"No, el chef del rey vio la luz del tren.","71133197","1","2","6","4"
"No, el chef del rey vio la luz del tren.","71361095","1","2","1","3"
"No, el chef del rey vio la luz del tren.","71615507","1","2","6","3"
"No, el chef del rey vio la luz del tren.","71616011","1","2","1","2"
"No, el chef del rey vio la luz del tren.","71997928","1","2","6","4"
"No, el chef del rey vio la luz del tren.","68531832","1","3","1","3"
"No, el chef del rey vio la luz del tren.","68654169","1","3","1","2"
"No, el chef del rey vio la luz del tren.","68654712","1","3","1","2"
"No, el chef del rey vio la luz del tren.","68655450","1","3","6","3"
"No, el chef del rey vio la luz del tren.","68655658","1","3","1","2"
"No, el chef del rey vio la luz del tren.","68656202","1","3","1","4"
"No, el chef del rey vio la luz del tren.","68657115","1","3","1","3"
"No, el chef del rey vio la luz del tren.","68659173","1","3","1","2"
"No, el chef del rey vio la luz del tren.","68660074","1","3","1","2"
"No, el chef del rey vio la luz del tren.","68668464","1","3","1","4"
"No, el chef del rey vio la luz del tren.","68684638","1","3","1","3"
